NAME,LINE,Geometry X Y,Geometry
45th Rd - Court House Sq,7-7 Express,,"{""type"": ""Point"", ""coordinates"": [-73.94526400065327, 40.7470233318634]}"
Vernon Blvd - Jackson Ave,7-7 Express,,"{""type"": ""Point"", ""coordinates"": [-73.95358099881999, 40.74262633257128]}"
Middletown Rd,6-6 Express,,"{""type"": ""Point"", ""coordinates"": [-73.83632199732645, 40.84386333467359]}"
Junction Blvd,7-7 Express,,"{""type"": ""Point"", ""coordinates"": [-73.86952699979643, 40.749145332731075]}"
Wilson Ave,L,,"{""type"": ""Point"", ""coordinates"": [-73.90395860493139, 40.68886687533077]}"
Essex St,J-M-Z,,"{""type"": ""Point"", ""coordinates"": [-73.98740940233351, 40.71830638908546]}"
Beach 36th St,A,,"{""type"": ""Point"", ""coordinates"": [-73.76817499792801, 40.5953983345618]}"
74th St - Broadway,7,,"{""type"": ""Point"", ""coordinates"": [-73.89120512838272, 40.74686790740984]}"
5th Ave - 53rd St,E-M,,"{""type"": ""Point"", ""coordinates"": [-73.97524850466023, 40.76008716596102]}"
Nostrand Ave,A-C,,"{""type"": ""Point"", ""coordinates"": [-73.95042600048536, 40.680438333107304]}"
Hunters Point Ave,7-7 Express,,"{""type"": ""Point"", ""coordinates"": [-73.94891600116063, 40.74221633326162]}"
66th St - Lincoln Ctr,1-2,,"{""type"": ""Point"", ""coordinates"": [-73.98220900041206, 40.77344033423141]}"
Woodhaven Blvd - Queens Mall,E-M-R,,"{""type"": ""Point"", ""coordinates"": [-73.86943208499197, 40.73309770715035]}"
Baychester Ave,5,,"{""type"": ""Point"", ""coordinates"": [-73.83859099777185, 40.87866333374524]}"
South Ferry,1,,"{""type"": ""Point"", ""coordinates"": [-74.01316895983928, 40.70173084095288]}"
Cleveland St,J,,"{""type"": ""Point"", ""coordinates"": [-73.88519400124282, 40.67977833229994]}"
Saratoga Ave,3-4,,"{""type"": ""Point"", ""coordinates"": [-73.91633024966036, 40.6615301232142]}"
Ave M,B-Q,,"{""type"": ""Point"", ""coordinates"": [-73.95924310477636, 40.617398078183385]}"
25th St,D-N-R,,"{""type"": ""Point"", ""coordinates"": [-73.99809099983278, 40.66039700032121]}"
Rockaway Ave,A-C,,"{""type"": ""Point"", ""coordinates"": [-73.91194599727311, 40.67834033324107]}"
Carroll St,F-G,,"{""type"": ""Point"", ""coordinates"": [-73.99494697982018, 40.680273684696886]}"
125th St,2-3,,"{""type"": ""Point"", ""coordinates"": [-73.94549500019211, 40.80775433284043]}"
Flushing - Main St,7-7 Express,,"{""type"": ""Point"", ""coordinates"": [-73.83003000183336, 40.759600332373104]}"
79th St,D,,"{""type"": ""Point"", ""coordinates"": [-74.00058287394693, 40.61315925934443]}"
